title,updated,entity,topic,winner,is_new,is_pick,filename,subhead,related_suid,related_link,footnotes,overview,methodology,sources,data_updated
Most Poverty: U.S. Cities,5/20/2014,places,personal-finance,"Detroit, MI",NA,TRUE,most-poverty-us-cities.csv,More than 42% of the population in Detroit lives in poverty,NA,http://www.bloomberg.com/news/2014-05-22/detroit-bankruptcy-comes-home-as-retirees-get-customized-ballots.html,"*Excluding nonregular, noncash assistance such as food stamps and housing vouchers.","Bloomberg ranked cities with at least 100,000 residents based on the percentage of population living in poverty.","Cities ranked in the top 50 were identified from a universe of 300 cities with an average poverty ratio of 19.1%. (The overall poverty ratio for the U.S. was 15.9% as of 2012.) The homeless population was not included. Bloomberg calculated the approximate total population living in poverty in each city and daily income per capita for household members living in the lowest quintile. Average household size was determined by weighting each city's total renter and owner-occupied units and their respective household size. Income excludes nonregular, noncash, in-kind income such as food stamps and housing vouchers. Many of those in the lowest quintile do not receive government assistance. According to latest Census and USDA estimates, 13.6% of all households receive food stamps averaging $256.18 per month ($124.69 per individual, or $4 a day worth of food stamps). According to data tabulated from HUD reports, approximately 2.1 million, or 1.86% of all households receive an average monthly housing voucher of $650. Per-household benefits vary widely due to different program qualifications and local real estate costs. Poverty level by educational attainment was based on population sample aged 25 and plus.","U.S. Census, U.S. Department of Agriculture Food and Nutrition Service, U.S. Department of Housing and Urban Development",2014-05-20
Most Financing: Cloud Companies,5/19/2014,companies,investing,Cloudera,NA,TRUE,most-financing-cloud-companies.csv,"In the past 12 months, 10 companies that provide data storage and services for web and mobile applications received $2 billion in financing",NA,NA,NA,"Bloomberg ranked companies that provide storage, software, sharing and other cloud services for web and mobile applications based on the amount of financing announced in the 12 months through May 14, 2014.","Figures are based on press releases, news stories and publicly available data.  The ranking is based on information available and may not reflect all investments made during the period. Cloudera's financing was in two rounds; a $160 million investment was completed while a $740 million deal is still pending. Investments in Pure Storage and DropBox were also in two rounds: $150 million and $225 million for the former and $250 million and $75 million for the latter.",Bloomberg,2014-05-19
Fewest Females in the 1% Club: States,5/12/2014,places,personal-finance,South Dakota,NA,TRUE,fewest-females-in-the-1-percent-club-states.csv,In South Dakota there are eight males for every female with income in the top 1%,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the extent to which females are underrepresented in the 1% income bracket.,"Using data from the U.S. Census, Bloomberg calculated the approximate 99th percentile, or top 1%, of inflation-adjusted wage or salary income figures for those ages 16 and older and employed. Gender information was extracted and the gap between the percentage of females in the 1% bracket and the percentage of females in the state's population was calculated.","Bloomberg, U.S. Census",2014-05-12
Most Happiness per Dollar: Countries,5/12/2014,places,lifestyle,Israel,NA,NA,most-happiness-per-dollar-countries.csv,Happiness is cheapest in Israel,NA,NA,NA,"Bloomberg ranked countries based on the ratio of income per capita to levels of happiness. Included were countries with at least $30,000 GDP per capita and in the top quartile of a 154-country survey on happiness.","Happiness levels are based on a worldwide Gallup poll using the Cantril Scale, asking respondents to rate their lives, with zero representing the ""worst possible life"" and 10 representing the ""best possible life."" The poll was conducted from 2010 to 2012. Each country's income per capita figure is the average annual income from 2010 to 2012. Incomes are adjusted for purchasing power parity.","United Nations Sustainable Development Solutions Network, Gallup, IMF",2014-05-12
Biggest Underwriters of Green Bonds: Investment Banks,5/9/2014,companies,business,Skandinaviska Enskilda Banking Group,NA,TRUE,biggest-underwriters-of-green-bonds-investment-banks.csv,Sweden's SEB tops underwriters of $7 billion of green bonds sold in 2013 by global agencies,NA,NA,NA,Bloomberg ranked the underwriters of green bonds issued by multilateral organizations to fund clean-energy projects based on the total value of offerings.,"The ranking includes only bonds that were publicly disclosed based on ratings and other announcements from data compiled by Bloomberg New Energy Finance from January 1, 2013, through December 31, 2013. Currency conversions were calculated on the date of issuance. Joint-lead underwriters were credited equally.",Bloomberg,2014-05-09
Most Raised Through Green Bonds: Issuers,5/9/2014,companies,investing,World Bank: International Finance,NA,TRUE,most-raised-through-green-bonds-issuers.csv,World Bank organizations and the EIB accounted for more than half of green bonds sold in 2013 by global agencies,NA,NA,NA,Bloomberg ranked multilateral organizations issuing green bonds to fund clean-energy projects based on the total value of offerings.,"The ranking includes only bonds that were publicly disclosed based on ratings and other announcements from data compiled by Bloomberg New Energy Finance from January 1, 2013, through December 31, 2013. Currency conversions were calculated on the date of issuance.",Bloomberg,2014-05-09
Lowest Paid in Tech: CEOs,5/7/2014,people,business,Larry Page,NA,TRUE,lowest-paid-in-tech-ceos.csv,"Larry Page, Mark Zuckerberg and Tim Cook were among the 10 worst paid tech CEOs in the last fiscal year",NA,NA,*Compensation was $1; **Stepped down February 2014,"Bloomberg ranked CEOs of 90 U.S. technology companies based on their total compensation for the last fiscal year, and identified the 10 CEOs with the lowest pay.","Included are S&P technology companies as well as all other U.S. technology and Internet companies with market capitalizations of at least $5 billion as of May 7, 2014. Excluded were CEOs of companies that went public during 2013 and those who were not CEOs for all of 2013.",Bloomberg,2014-05-07
Fewest Minorities in the 1% Club: States,5/5/2014,places,personal-finance,District of Columbia,NA,TRUE,fewest-minorities-in-the-1-percent-club-states.csv,"Fewer than half of DC residents are white, yet whites make up over 80% of the 1% income club",NA,http://www.bloomberg.com/news/2014-05-08/black-mobility-belies-u-s-civil-rights-hope-as-milestone-nears.html,NA,Bloomberg ranked the U.S. states and the District of Columbia on the extent to which nonwhite racial groups are underrepresented in the 1% income bracket.,"Using data from the U.S. Census, Bloomberg calculated the approximate 99th percentile, or top 1%, of inflation-adjusted wage or salary income figures for those aged 16 and older and employed. Racial information was extracted and the gap between the percentage of nonwhites in the 1% club and the percentage of nonwhites in the state population was calculated.","Bloomberg, U.S. Census",2014-05-05
Biggest Gain in Global Art Sales: Auction Houses,5/5/2014,companies,business,Koller Auktionen Zurich,NA,TRUE,biggest-gain-in-global-art-sales-auction-houses.csv,"While most auction houses aren't back to prefinancial-crisis sales levels, four are up 1,000%+",NA,NA,NA,"Bloomberg ranked 237 global auction houses based on percentage change in total fine-art sales from 2007, the peak year for sales prior to the 2008 financial crisis, to 2013, and identified the top 20 houses with the biggest increases.","Totals, which reflect the buyer's premiums, include sales of paintings, works on paper, prints, sculptures, photographs, design, installations and video attributed to an artist. Auction houses that report results by city are listed separately. Companies that didn't report sales for 2007 or 2013 were excluded. Phillips de Pury, which changed names and ownership in 2013, was excluded as were new companies Phillips New York and Phillips London.",Artnet,2014-05-05
Biggest Decline in Global Art Sales: Auction Houses,5/5/2014,companies,business,Camard,NA,TRUE,biggest-decline-in-global-art-sales-auction-houses.csv,Auction houses in France and Italy were hard hit by the financial crisis,NA,NA,NA,"Bloomberg ranked 237 global auction houses based on percentage change in total fine-art sales from 2007, the peak year for sales prior to the 2008 financial crisis, to 2013, and identified the top 20 houses with the biggest declines.","Totals, which reflect the buyer's premiums, include sales of paintings, works on paper, prints, sculptures, photographs, design, installations and video attributed to an artist. Auction houses that report results by city are listed separately. Companies that didn't report sales for 2007 or 2013 were excluded. Phillips de Pury, which changed names and ownership in 2013, was excluded as were new companies Phillips New York and Phillips London.",Artnet,2014-05-05
